file,commitId,CBO,WMC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC,isSmelly,IsBlob,IsClassDataSBP,IsComplexClass,IsFuncDecomp,IsSpaghettiCode,CBOslopeLast10,WMCslopeLast10,DITslopeLast10,NOCslopeLast10,RFCslopeLast10,LCOMslopeLast10,NOMslopeLast10,NOPMslopeLast10,NOSMslopeLast10,NOFslopeLast10,NOPFslopeLast10,NOSFslopeLast10,NOSIslopeLast10,LOCslopeLast10,CBOslopeAllPast,WMCslopeAllPast,DITslopeAllPast,NOCslopeAllPast,RFCslopeAllPast,LCOMslopeAllPast,NOMslopeAllPast,NOPMslopeAllPast,NOSMslopeAllPast,NOFslopeAllPast,NOPFslopeAllPast,NOSFslopeAllPast,NOSIslopeAllPast,LOCslopeAllPast,isSmellyIn15,IsBlobIn15,IsClassDataSBPIn15,IsComplexClassIn15,IsFuncDecompIn15,IsSpaghettiCodeIn15,isSmellyIn30,IsBlobIn30,IsClassDataSBPIn30,IsComplexClassIn30,IsFuncDecompIn30,IsSpaghettiCodeIn30,isSmellyIn45,IsBlobIn45,IsClassDataSBPIn45,IsComplexClassIn45,IsFuncDecompIn45,IsSpaghettiCodeIn45,isSmellyIn60,IsBlobIn60,IsClassDataSBPIn60,IsComplexClassIn60,IsFuncDecompIn60,IsSpaghettiCodeIn60,isSmellyIn75,IsBlobIn75,IsClassDataSBPIn75,IsComplexClassIn75,IsFuncDecompIn75,IsSpaghettiCodeIn75,isSmellyIn90,IsBlobIn90,IsClassDataSBPIn90,IsComplexClassIn90,IsFuncDecompIn90,IsSpaghettiCodeIn90,isSmellyIn105,IsBlobIn105,IsClassDataSBPIn105,IsComplexClassIn105,IsFuncDecompIn105,IsSpaghettiCodeIn105,isSmellyIn120,IsBlobIn120,IsClassDataSBPIn120,IsComplexClassIn120,IsFuncDecompIn120,IsSpaghettiCodeIn120,isSmellyIn135,IsBlobIn135,IsClassDataSBPIn135,IsComplexClassIn135,IsFuncDecompIn135,IsSpaghettiCodeIn135,isSmellyIn150,IsBlobIn150,IsClassDataSBPIn150,IsComplexClassIn150,IsFuncDecompIn150,IsSpaghettiCodeIn150,isSmellyIn165,IsBlobIn165,IsClassDataSBPIn165,IsComplexClassIn165,IsFuncDecompIn165,IsSpaghettiCodeIn165,isSmellyIn180,IsBlobIn180,IsClassDataSBPIn180,IsComplexClassIn180,IsFuncDecompIn180,IsSpaghettiCodeIn180,isSmellyIn195,IsBlobIn195,IsClassDataSBPIn195,IsComplexClassIn195,IsFuncDecompIn195,IsSpaghettiCodeIn195,isSmellyIn210,IsBlobIn210,IsClassDataSBPIn210,IsComplexClassIn210,IsFuncDecompIn210,IsSpaghettiCodeIn210
src.main.java.com.jsoniter.spi.Binding,138e771f8c00516085c0713e9b35d2f2b080ee20,7.0,35.0,1.0,0.0,17.0,1.0,7.0,5.0,2.0,16.0,16.0,0.0,6.0,101.0,true,false,true,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14545,0.14545,0.0,0.0,0.43636,0.11976,0.75484,0.0,0.0,0.51895,0.04718,0.14153,0.04718,0.09435,0.20887,0.20887,0.0,0.28306,2.16976,true,false,true,false,false,false,true,false,true,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,true,false,true,false,false,false,true,false,true,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.spi.SetterDescriptor,138e771f8c00516085c0713e9b35d2f2b080ee20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,16.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
demo.src.main.java.com.jsoniter.demo.DemoCodegenConfig,138e771f8c00516085c0713e9b35d2f2b080ee20,9.0,4.0,1.0,0.0,6.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,40.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
demo.src.main.java.decoder.java.util.List_java.lang.Integer,138e771f8c00516085c0713e9b35d2f2b080ee20,2.0,18.0,1.0,0.0,9.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,17.0,42.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.test.java.com.jsoniter.output.TestCustomizeType,138e771f8c00516085c0713e9b35d2f2b080ee20,4.0,3.0,2.0,0.0,7.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,32.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01314,0.0,0.0,0.05255,0.0,0.01314,0.01314,0.0,0.02627,0.0,0.0,0.0,0.15764,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.test.java.com.jsoniter.TestArray,138e771f8c00516085c0713e9b35d2f2b080ee20,8.0,9.0,2.0,0.0,22.0,28.0,8.0,8.0,0.0,0.0,0.0,0.0,13.0,149.0,false,false,false,false,false,false,0.08485,0.05455,0.0,0.0,0.09697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13939,0.16364,0.09249,6.9E-4,0.0,0.0,0.25225,-0.05495,-0.00646,-0.00646,0.0,0.0,0.0,0.0,0.07508,1.4674,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.test.java.com.jsoniter.TestNested,138e771f8c00516085c0713e9b35d2f2b080ee20,4.0,3.0,2.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01673,0.0,0.0,0.0,0.06691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05018,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.test.java.com.jsoniter.TestExisting,138e771f8c00516085c0713e9b35d2f2b080ee20,6.0,6.0,2.0,0.0,11.0,8.0,5.0,5.0,0.0,4.0,4.0,0.0,9.0,58.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03152,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.test.java.com.jsoniter.TestWhatIsNext,138e771f8c00516085c0713e9b35d2f2b080ee20,2.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03346,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
demo.src.main.java.com.jsoniter.demo.User,138e771f8c00516085c0713e9b35d2f2b080ee20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.spi.TypeLiteral,138e771f8c00516085c0713e9b35d2f2b080ee20,4.0,33.0,1.0,0.0,18.0,6.0,13.0,9.0,6.0,5.0,1.0,1.0,12.0,162.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11357,0.37986,0.0,0.0,0.16284,0.28079,0.08675,0.08675,0.01998,0.11357,0.0468,0.0468,0.15846,3.28106,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.DecodingMode,138e771f8c00516085c0713e9b35d2f2b080ee20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
demo.src.main.java.decoder.com.jsoniter.demo.User,138e771f8c00516085c0713e9b35d2f2b080ee20,3.0,14.0,1.0,0.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,37.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.spi.ConstructorDescriptor,138e771f8c00516085c0713e9b35d2f2b080ee20,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,29.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04234,0.0,0.0,0.0,0.0,0.04234,0.04234,0.0,0.0,0.0,0.0,0.0,0.38105,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
demo.src.test.java.com.jsoniter.demo.ObjectOutput,138e771f8c00516085c0713e9b35d2f2b080ee20,14.0,6.0,1.0,0.0,16.0,0.0,6.0,6.0,1.0,9.0,2.0,0.0,1.0,76.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.output.StreamImplString,138e771f8c00516085c0713e9b35d2f2b080ee20,2.0,26.0,1.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,92.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.test.java.com.jsoniter.TestAny,138e771f8c00516085c0713e9b35d2f2b080ee20,3.0,15.0,2.0,0.0,14.0,21.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,67.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02145,0.0,0.0,0.0143,0.0429,0.00715,0.00715,0.0,0.0,0.0,0.0,0.00715,0.10011,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.JsonException,138e771f8c00516085c0713e9b35d2f2b080ee20,0.0,5.0,4.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,fileNotPresentInCommit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.test.java.com.jsoniter.ComplexObject,138e771f8c00516085c0713e9b35d2f2b080ee20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
demo.src.test.java.com.jsoniter.demo.FloatOutput,138e771f8c00516085c0713e9b35d2f2b080ee20,11.0,6.0,1.0,0.0,15.0,0.0,6.0,6.0,1.0,5.0,0.0,0.0,0.0,63.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.CodegenImplNative,138e771f8c00516085c0713e9b35d2f2b080ee20,3.0,36.0,1.0,0.0,25.0,4.0,5.0,4.0,5.0,1.0,0.0,1.0,4.0,98.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18306,-1.11633,0.0,0.0,-0.1851,-0.23418,-0.03184,-0.01194,-0.03184,0.0,0.0,0.0,-0.55786,-2.00102,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.ValueType,138e771f8c00516085c0713e9b35d2f2b080ee20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.ReflectionMapDecoder,138e771f8c00516085c0713e9b35d2f2b080ee20,4.0,12.0,1.0,0.0,11.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,8.0,46.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src.main.java.com.jsoniter.spi.Decoder,138e771f8c00516085c0713e9b35d2f2b080ee20,8.0,38.0,6.0,0.0,19.0,153.0,18.0,17.0,0.0,0.0,0.0,0.0,16.0,131.0,false,false,false,false,false,false,0.76364,3.18182,0.63636,0.0,0.89091,9.54545,0.63636,0.63636,0.0,0.0,0.0,0.0,1.27273,9.67273,0.05927,0.59274,-0.21169,0.0,0.62661,3.04839,0.25403,0.25403,0.0,0.0,0.0,0.0,0.42339,1.92218,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
